X,Y,OBJECTID,NAME,CLASS,POP,INCORPDATE,POLICE,TROOPER
-157.3113102,59.45155144,244,New Stuyahok,Second Class City,452,1972,,
-157.019935,58.72821656,245,Naknek,Unincorporated,640,0,,
-156.6676679,58.68137202,246,King Salmon,Unincorporated,478,0,,
-157.286651,59.7278882,247,Koliganek,Unincorporated,194,0,,
-155.9035618,59.32534813,248,Igiugig,Unincorporated,46,0,,
-154.9060959,59.75470152,249,Iliamna,Unincorporated,103,0,,
-154.328081,60.19602251,250,Port Alsworth,Unincorporated,67,0,,
-154.8948221,59.7209719,251,Newhalen,Second Class City,177,1971,,
-156.8574996,59.11246321,252,Levelock,Unincorporated,115,0,,
-157.0069216,58.71326799,253,South Naknek,Unincorporated,149,0,,
-161.5822778,59.11822513,254,Goodnews Bay,Second Class City,263,1970,,
-161.8147713,59.00848269,255,Platinum,Second Class City,41,1975,,
-160.3788122,59.06051165,256,Togiak,Second Class City,762,1969,,
-161.9006339,59.7514266,257,Quinhagak,Second Class City,567,1969,,
-162.0295189,60.2189057,258,Eek,Second Class City,277,1970,,
-160.2806047,59.07512963,259,Twin Hills,Unincorporated,59,0,,
-163.1576181,59.87709777,260,Kwigillingok,Unincorporated,333,0,,
-166.1928825,60.38649321,261,Mekoryuk,Second Class City,192,1969,,
-165.2580538,60.58474778,262,Tununak,Unincorporated,330,0,,
-165.1072558,60.52954464,263,Toksook Bay,Second Class City,496,1972,,
-164.7299879,60.47997964,264,Nightmute,Second Class City,206,1974,,
-164.6294159,60.93686706,265,Newtok,Unincorporated,269,0,,
-164.0436911,59.93809803,266,Kipnuk,Unincorporated,567,0,,
-165.194286,60.49799441,267,Umkumiute,Unincorporated,0,0,,
-161.7717929,60.79119897,268,Bethel,Second Class City,5277,1957,,
-160.9564586,61.09868826,269,Tuluksak,Unincorporated,385,0,,
-161.972648,60.69433108,270,Napakiak,Second Class City,354,1970,,
-161.7532191,60.70823334,271,Napaskiak,Second Class City,399,1971,,
-161.4375688,60.81122819,272,Kwethluk,Second Class City,669,1975,,
-161.2300239,60.90749198,273,Akiak,Second Class City,272,1970,,
-161.4490908,60.91380924,274,Akiachak,Unincorporated,481,0,,
-162.4574271,60.89721693,275,Nunapitchuk,Second Class City,489,1969,,
-162.5228402,60.89478275,276,Kasigluk,Unincorporated,514,0,,
-152.3975021,57.79300283,277,Kodiak,Home Rule City,6749,1940,,
-154.1732659,56.94681591,278,Akhiok,Second Class City,101,1974,,
-152.8834628,57.86662378,279,Port Lions,Second Class City,239,1966,,
-153.2836918,57.21342029,280,Old Harbor,Second Class City,301,1966,,
-153.981456,57.53706958,281,Larsen Bay,Second Class City,120,1974,,
-152.7701603,58.00703007,282,Afognak,Unincorporated,0,0,,
-152.3574203,57.7792477,283,Woody Island,Unincorporated,0,0,,
-158.4141756,56.30126389,284,Chignik,Second Class City,125,0,,
-157.3757714,58.20907092,285,Egegik,Second Class City,127,1985,,
-157.5773533,57.56430006,286,Pilot Point,Second Class City,79,1992,,
-157.3995645,57.51228827,287,Ugashik,Unincorporated,5,0,,
-160.4981093,55.34090291,288,Sand Point,First Class City,870,1978,,
-160.5083817,55.1819444,289,Unga,Unincorporated,0,0,,
-168.8601801,52.94011198,290,Nikolski,Unincorporated,43,0,,
-176.6403118,51.86824482,291,Adak Station,Second Class City,4633,2001,,
-162.7150064,55.20656814,292,Cold Bay,Second Class City,85,1981,,
-158.4631,59.03937488,293,Dillingham,First Class City,2252,1963,,
-135.7390823,58.41334688,294,Gustavus,Second Class City,346,2004,,
-153.2794247,63.38388738,295,Telida,Unincorporated,5,0,,
-133.1220823,56.11714595,296,Whale Pass,Second Class City,79,0,,
-164.1793238,62.94505931,297,Chuloonawick,Unincorporated,0,0,,
-141.0106199,62.62211023,298,Alcan,Unincorporated,0,0,,
-149.5666889,61.32222546,299,Eagle River,Unincorporated,0,0,,
-149.1280669,60.96775374,300,Girdwood,Unincorporated,0,0,,
-133.2026973,55.86897141,301,Naukati Bay,Unincorporated,0,0,,
-164.507157,60.81887918,302,Mertarvik,Unincorporated,269,0,,
-151.6131368,59.81132714,303,Nikolaevsk,Unincorporated,0,0,,
-176.6403118,51.86824482,304,Adak,Second Class City,4633,2001,,
