OBJECTID,NAME,CLASS,POP,INCORPDATE,ANCSA,Labels,Locator,Community_,GlobalID,created_us,created_da,last_edite,last_edi_1,Story_Map_
"157",Anderson,Second Class City,"565","1962",N,Anderson,Q-4,"Anderson, Q-4",731ec1f3-521e-4c5a-9fde-38f982bbd47e,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"158",Nenana,Home Rule City,"356","1921",Y,Nenana,Q-4,"Nenana, Q-4",931c9914-8b01-4715-b901-5c11d0a707dd,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"159",Tanana,First Class City,"299","1961",Y,Tanana,O-4,"Tanana, O-4",c1004631-3f2a-4d0a-bf40-97391b291e98,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"160",Manley Hot Springs,Unincorporated,"90","0",Y,Manley Hot Springs,P-4,"Manley Hot Springs, P-4",5d64ab0d-e1fc-44b4-9f7c-a0007b33c5a7,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"161",Rampart,Unincorporated,"54","0",Y,Rampart,P-4,"Rampart, P-4",0adbb815-00d2-46d6-9644-6b5a3c8c2f81,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"162",Circle,Unincorporated,"83","0",Y,Circle,S-4,"Circle, S-4",2fbc0da7-1570-4eb4-a6c9-bacc3dc706b8,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"163",Fort Yukon,Second Class City,"575","1959",Y,Fort Yukon,S-3,"Fort Yukon, S-3",80120d9d-a52c-4bd5-a3bb-b1d576597530,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"164",Beaver,Unincorporated,"103","0",Y,Beaver,R-3,"Beaver, R-3",f127a10f-31cd-466c-9f8f-60343f2f8647,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"165",Stevens Village,Unincorporated,"99","0",Y,Stevens Village,Q-3,"Stevens Village, Q-3",86131711-838e-4295-afb7-4f5e8488127a,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"166",Anaktuvuk Pass,Second Class City,"301","1957",Y,Anaktuvuk Pass,P-2,"Anaktuvuk Pass, P-2",80ca22b1-9d90-41c5-b740-4c2f4f996bac,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"167",Bettles,Second Class City,"32","1985",N,Bettles,P-3,"Bettles, P-3",096e676a-f65f-440d-852b-988a130edd33,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"168",Allakaket,Second Class City,"182","1975",Y,Allakaket,O-3,"Allakaket, O-3",3142cd39-8a6b-422c-aed6-616abf5b45eb,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"169",Evansville,Unincorporated,"43","0",Y,Evansville,P-3,"Evansville, P-3",7bca8052-25c5-4b2b-9f07-9e976613dfe4,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"170",Wiseman,Unincorporated,"24","0",N,Wiseman,P-3,"Wiseman, P-3",e89fd396-c041-4374-b7ac-2584677625b8,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"171",Kobuk,Second Class City,"89","1973",Y,Kobuk,M-3,"Kobuk, M-3",2d30f3c1-3666-4e5f-aafd-5b68e9887384,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"172",Shungnak,Second Class City,"252","1967",Y,Shungnak,M-3,"Shungnak, M-3",e1c3470e-5ee0-450f-8af4-205edbf3cbf3,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"173",Ambler,Second Class City,"333","1971",Y,Ambler,M-3,"Ambler, M-3",d5533654-09fc-448d-ba17-60bd24d840ae,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"174",Kotzebue,Second Class City,"2885","1958",Y,Kotzebue,J-3,"Kotzebue, J-3",05d8d2fa-5553-48fb-9430-555606e24aeb,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"175",Kiana,Second Class City,"415","1964",Y,Kiana,K-3,"Kiana, K-3",ddb6cd53-4b92-41eb-8b43-40c6922b6fad,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"176",Noorvik,Second Class City,"571","1964",Y,Noorvik,K-3,"Noorvik, K-3",c5664fa7-f214-47f3-9d73-1ae394b4b5e1,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"177",Selawik,Second Class City,"696","1977",Y,Selawik,K-3,"Selawik, K-3",3bfd25c4-8990-412b-90c4-042d0608c222,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"178",Noatak,Unincorporated,"401","0",Y,Noatak,J-3,"Noatak, J-3",1b93959f-6188-4166-a205-c2f0c8b18b2a,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"179",Shishmaref,Second Class City,"542","1969",Y,Shishmaref,H-3,"Shishmaref, H-3",2ba50728-105b-407b-8a72-961088d13394,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"180",Wainwright,Second Class City,"550","1962",Y,Wainwright,K-1,"Wainwright, K-1",a42ec88b-65d4-423c-9b8f-3cc3f199cb9b,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"181",Point Lay,Unincorporated,"207","0",Y,Point Lay,J-2,"Point Lay, J-2",7c294456-1e9c-467a-b862-b4029acfa794,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"182",Point Hope,Second Class City,"749","1966",Y,Point Hope,H-2,"Point Hope, H-2",d1f5f424-53eb-484a-9ac3-aae38509d297,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"183",Atqasuk,Second Class City,"235","1982",Y,Atqasuk,M-1,"Atqasuk, M-1",e0a11f7e-d7d5-4ea4-9cf8-48ff33b7e56b,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"184",Utqiagvik,First Class City,"4380","1958",Y,Utqiagvik,M-1,"Utqiagvik, M-1",972d7bd6-12bf-4493-aa5f-05e2a9441cbd,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,https://dcced.maps.arcgis.com/apps/MapJournal/index.html?appid=bb631449256346db81bc026339f0e60c
"185",Nuiqsut,Second Class City,"435","1975",Y,Nuiqsut,P-1,"Nuiqsut, P-1",b4c9c463-1ab1-4a0f-913c-37932dbaaa7e,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"186",Kaktovik,Second Class City,"222","1971",Y,Kaktovik,T-1,"Kaktovik, T-1",8fae8693-e76a-4726-9685-3c5932bec9bd,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"187",Arctic Village,Unincorporated,"96","0",Y,Arctic Village,S-2,"Arctic Village, S-2",38e40581-107e-4295-b8e8-cdcf385dce7a,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"188",Huslia,Second Class City,"232","1969",Y,Huslia,M-4,"Huslia, M-4",94c677a4-8012-489a-98c1-a84764d4e3b2,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"189",Hughes,Second Class City,"52","1973",Y,Hughes,N-3,"Hughes, N-3",ccb626c7-6f62-44be-bd3d-531536e7c8f6,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"190",Galena,First Class City,"543","1971",Y,Galena,M-4,"Galena, M-4",74c728d6-e6e7-4878-acd8-c4662791aeb4,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"191",Kaltag,Second Class City,"245","1969",Y,Kaltag,L-4,"Kaltag, L-4",3bd7832c-6c59-487c-8476-7ee52dae2b8a,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"192",Nulato,Second Class City,"365","1963",Y,Nulato,L-4,"Nulato, L-4",66e6c1c3-30e2-474d-979f-1edcc2b277d0,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"193",Koyukuk,Second Class City,"113","1973",Y,Koyukuk,M-4,"Koyukuk, M-4",bd423237-882b-4044-9b32-534342dd601a,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"194",Ruby,Second Class City,"189","1973",Y,Ruby,N-4,"Ruby, N-4",c5fb0e1e-dc4c-469f-a8ff-1cd572fc2381,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"195",Nome,First Class City,"3595","1901",Y,Nome,I-4,"Nome, I-4",c1c58823-3f4d-480d-9f2d-5cfa06f01d3b,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"196",Golovin,Second Class City,"153","1971",Y,Golovin,J-4,"Golovin, J-4",20bdf487-281a-40ff-b0d0-ac3c7aeac618,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"197",Elim,Second Class City,"291","1970",Y,Elim,J-4,"Elim, J-4",bfa66bb0-5530-4e0e-909c-503e89260eae,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"198",White Mountain,Second Class City,"193","1969",Y,White Mountain,J-4,"White Mountain, J-4",6b2e4296-3fe0-4a6c-9594-8c5883a6b558,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"199",Koyuk,Second Class City,"272","1970",Y,Koyuk,K-4,"Koyuk, K-4",aac6b0b8-a9df-4d5e-a507-f5795377f03c,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"200",Buckland,Second Class City,"412","1966",Y,Buckland,K-4,"Buckland, K-4",d2486fa3-98d3-43f6-94dc-bd669889ceb3,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"201",Teller,Second Class City,"265","1963",Y,Teller,H-4,"Teller, H-4",b4a00224-d5f2-4fc3-86ac-616276a0df49,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"202",Brevig Mission,Second Class City,"265","1969",Y,Brevig Mission,H-4,"Brevig Mission, H-4",b18134e9-58ec-431e-b930-d0562d40189c,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
